               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036467,            0.045023,            0.024643,             0.49541,             0.45897,             0.48953,             0.28734,              0.0242,            0.021001,            0.016539,            0.006436,            0.006436,            0.006436
                  38,            0.036489,            0.045013,            0.024041,             0.48151,             0.47776,              0.4901,             0.28841,            0.024205,            0.020949,             0.01648,            0.006337,            0.006337,            0.006337
                  39,             0.03614,            0.044699,            0.023633,             0.48651,             0.47513,             0.49527,             0.29285,             0.02397,            0.020823,            0.016369,            0.006238,            0.006238,            0.006238
                  40,             0.03616,            0.044729,            0.023476,             0.49381,             0.47851,             0.50247,               0.296,            0.023893,            0.020767,            0.016131,            0.006139,            0.006139,            0.006139
                  41,            0.036271,            0.045234,            0.023508,             0.48231,             0.49477,             0.50408,             0.29712,            0.023799,            0.020771,            0.016084,             0.00604,             0.00604,             0.00604
                  42,            0.035966,            0.044741,            0.022743,             0.49364,             0.49409,             0.50688,             0.29757,            0.023801,            0.020763,            0.015974,            0.005941,            0.005941,            0.005941
                  43,            0.035708,            0.044371,            0.022065,             0.50162,             0.49755,             0.50914,             0.30023,            0.023833,            0.020775,            0.015869,            0.005842,            0.005842,            0.005842
                  44,            0.035519,            0.043976,            0.021572,             0.50029,             0.50247,               0.511,             0.30161,            0.023879,            0.020758,            0.015843,            0.005743,            0.005743,            0.005743
                  45,            0.035578,            0.044127,            0.021582,             0.50938,             0.49365,             0.51558,             0.30573,            0.023882,            0.020699,            0.015765,            0.005644,            0.005644,            0.005644
                  46,             0.03559,            0.044573,            0.020868,              0.5072,             0.49749,             0.51875,             0.30884,            0.023808,            0.020694,            0.015728,            0.005545,            0.005545,            0.005545
                  47,            0.035459,            0.043847,            0.021303,             0.50934,             0.50182,             0.52034,             0.30878,            0.023747,            0.020697,            0.015738,            0.005446,            0.005446,            0.005446
                  48,            0.035529,            0.044333,            0.020614,             0.50576,             0.50984,             0.52249,             0.31184,            0.023692,            0.020686,            0.015647,            0.005347,            0.005347,            0.005347
                  49,            0.035514,            0.044569,            0.020126,             0.50862,             0.51045,             0.52475,             0.31332,            0.023696,            0.020698,            0.015586,            0.005248,            0.005248,            0.005248
                  50,            0.035321,            0.043978,            0.020217,             0.51985,             0.50644,             0.52494,             0.31431,            0.023704,            0.020686,            0.015464,            0.005149,            0.005149,            0.005149
                  51,            0.035226,            0.043981,            0.020024,             0.50908,             0.51139,             0.52525,             0.31387,            0.023686,            0.020685,            0.015355,             0.00505,             0.00505,             0.00505
                  52,            0.035261,            0.044013,            0.019659,             0.50835,             0.51246,             0.52495,             0.31383,            0.023677,            0.020679,            0.015295,            0.004951,            0.004951,            0.004951
                  53,            0.035097,            0.043678,             0.01956,             0.50499,             0.51632,             0.52705,             0.31537,            0.023661,            0.020666,            0.015281,            0.004852,            0.004852,            0.004852
                  54,            0.034817,            0.043696,            0.019147,             0.50507,             0.51731,             0.52675,             0.31658,            0.023629,            0.020663,            0.015216,            0.004753,            0.004753,            0.004753
                  55,            0.034847,            0.044049,            0.019357,             0.49995,             0.52201,             0.52814,             0.31731,             0.02359,             0.02066,            0.015162,            0.004654,            0.004654,            0.004654
                  56,            0.034965,             0.04385,            0.019528,             0.50071,             0.52019,             0.52964,             0.31845,            0.023548,             0.02066,            0.015106,            0.004555,            0.004555,            0.004555
                  57,            0.034554,            0.043525,            0.018923,             0.49611,             0.52668,             0.53121,             0.31937,            0.023515,            0.020659,            0.015053,            0.004456,            0.004456,            0.004456
                  58,             0.03484,            0.043466,            0.018919,             0.49455,             0.52763,             0.53189,             0.31948,             0.02349,            0.020661,             0.01503,            0.004357,            0.004357,            0.004357
                  59,            0.034322,            0.043601,            0.018396,             0.49537,             0.52999,             0.53154,             0.31929,            0.023453,            0.020656,            0.015007,            0.004258,            0.004258,            0.004258
                  60,            0.034638,            0.043273,            0.018331,             0.49389,             0.53521,             0.53201,             0.32018,            0.023444,            0.020639,            0.014963,            0.004159,            0.004159,            0.004159
                  61,             0.03445,            0.043032,            0.018265,             0.49107,             0.53707,             0.53262,             0.32103,            0.023428,            0.020634,             0.01492,             0.00406,             0.00406,             0.00406
                  62,            0.034245,              0.0432,            0.017782,             0.49642,             0.53211,             0.53312,             0.32134,            0.023418,             0.02063,            0.014886,            0.003961,            0.003961,            0.003961
                  63,            0.034315,            0.043428,            0.017905,             0.49807,              0.5288,              0.5335,             0.32153,            0.023405,            0.020624,            0.014863,            0.003862,            0.003862,            0.003862
                  64,            0.034067,            0.043615,            0.017504,              0.5023,             0.52657,             0.53436,             0.32203,            0.023389,            0.020612,            0.014835,            0.003763,            0.003763,            0.003763
                  65,            0.034007,            0.042946,             0.01695,             0.50157,             0.52766,             0.53459,             0.32179,            0.023378,            0.020604,            0.014809,            0.003664,            0.003664,            0.003664
                  66,            0.033875,            0.042853,            0.017178,             0.50507,             0.53012,             0.53606,             0.32224,            0.023353,            0.020597,            0.014788,            0.003565,            0.003565,            0.003565
